[0.000] init():  Atollic TrueSTUDIO gdbserver for ST-Link. Version 4.2.2 (LINUX64 2018-02-26 16:20:21 15675)
[2.501] flash_f2_get_busy_status():  FuncEntry
[2.501] flash_f2_get_busy_status():  FuncExit
[2.501] flash_f2_get_busy_status():  FuncEntry
[2.502] flash_f2_get_busy_status():  FuncExit
[2.502] flash_f2_get_busy_status():  FuncEntry
[2.502] flash_f2_get_busy_status():  FuncExit
[2.502] flash_f2_get_busy_status():  FuncEntry
[2.502] flash_f2_get_busy_status():  FuncExit
[2.502] flash_f2_get_busy_status():  FuncEntry
[2.503] flash_f2_get_busy_status():  FuncExit
[2.503] flash_f2_get_busy_status():  FuncEntry
[2.503] flash_f2_get_busy_status():  FuncExit
[2.503] flash_f2_get_busy_status():  FuncEntry
[2.503] flash_f2_get_busy_status():  FuncExit
[2.503] flash_f2_get_busy_status():  FuncEntry
[2.503] flash_f2_get_busy_status():  FuncExit
[2.503] flash_f2_get_busy_status():  FuncEntry
[2.504] flash_f2_get_busy_status():  FuncExit
[2.504] flash_f2_get_busy_status():  FuncEntry
[2.504] flash_f2_get_busy_status():  FuncExit
[2.504] flash_f2_get_busy_status():  FuncEntry
[2.504] flash_f2_get_busy_status():  FuncExit
[2.504] flash_f2_get_busy_status():  FuncEntry
[2.505] flash_f2_get_busy_status():  FuncExit
[2.505] flash_f2_get_busy_status():  FuncEntry
[2.505] flash_f2_get_busy_status():  FuncExit
[2.505] flash_f2_get_busy_status():  FuncEntry
[2.505] flash_f2_get_busy_status():  FuncExit
[2.505] flash_f2_get_busy_status():  FuncEntry
[2.506] flash_f2_get_busy_status():  FuncExit
[2.506] flash_f2_get_busy_status():  FuncEntry
[2.506] flash_f2_get_busy_status():  FuncExit
[2.506] flash_f2_get_busy_status():  FuncEntry
[2.506] flash_f2_get_busy_status():  FuncExit
[2.506] flash_f2_get_busy_status():  FuncEntry
[2.507] flash_f2_get_busy_status():  FuncExit
[2.507] flash_f2_get_busy_status():  FuncEntry
[2.507] flash_f2_get_busy_status():  FuncExit
[2.507] flash_f2_get_busy_status():  FuncEntry
[2.507] flash_f2_get_busy_status():  FuncExit
[2.507] flash_f2_get_busy_status():  FuncEntry
[2.508] flash_f2_get_busy_status():  FuncExit
[2.508] flash_f2_get_busy_status():  FuncEntry
[2.508] flash_f2_get_busy_status():  FuncExit
[2.508] flash_f2_get_busy_status():  FuncEntry
[2.508] flash_f2_get_busy_status():  FuncExit
[2.508] flash_f2_get_busy_status():  FuncEntry
[2.508] flash_f2_get_busy_status():  FuncExit
[2.508] flash_f2_get_busy_status():  FuncEntry
[2.509] flash_f2_get_busy_status():  FuncExit
[2.509] flash_f2_get_busy_status():  FuncEntry
[2.509] flash_f2_get_busy_status():  FuncExit
[2.509] flash_f2_get_busy_status():  FuncEntry
[2.509] flash_f2_get_busy_status():  FuncExit
[2.509] flash_f2_get_busy_status():  FuncEntry
[2.510] flash_f2_get_busy_status():  FuncExit
[2.510] flash_f2_get_busy_status():  FuncEntry
[2.510] flash_f2_get_busy_status():  FuncExit
[2.510] flash_f2_get_busy_status():  FuncEntry
[2.510] flash_f2_get_busy_status():  FuncExit
[2.510] flash_f2_get_busy_status():  FuncEntry
[2.511] flash_f2_get_busy_status():  FuncExit
[2.511] flash_f2_get_busy_status():  FuncEntry
[2.511] flash_f2_get_busy_status():  FuncExit
[2.511] flash_f2_get_busy_status():  FuncEntry
[2.512] flash_f2_get_busy_status():  FuncExit
[2.512] flash_f2_get_busy_status():  FuncEntry
[2.515] flash_f2_get_busy_status():  FuncExit
[2.515] flash_f2_get_busy_status():  FuncEntry
[2.515] flash_f2_get_busy_status():  FuncExit
[2.515] flash_f2_get_busy_status():  FuncEntry
[2.515] flash_f2_get_busy_status():  FuncExit
[2.515] flash_f2_get_busy_status():  FuncEntry
[2.516] flash_f2_get_busy_status():  FuncExit
[2.516] flash_f2_get_busy_status():  FuncEntry
[2.516] flash_f2_get_busy_status():  FuncExit
[2.516] flash_f2_get_busy_status():  FuncEntry
[2.516] flash_f2_get_busy_status():  FuncExit
[2.516] flash_f2_get_busy_status():  FuncEntry
[2.517] flash_f2_get_busy_status():  FuncExit
[2.517] flash_f2_get_busy_status():  FuncEntry
[2.517] flash_f2_get_busy_status():  FuncExit
[2.517] flash_f2_get_busy_status():  FuncEntry
[2.517] flash_f2_get_busy_status():  FuncExit
[2.517] flash_f2_get_busy_status():  FuncEntry
[2.518] flash_f2_get_busy_status():  FuncExit
[2.518] flash_f2_get_busy_status():  FuncEntry
[2.518] flash_f2_get_busy_status():  FuncExit
[2.518] flash_f2_get_busy_status():  FuncEntry
[2.518] flash_f2_get_busy_status():  FuncExit
[2.518] flash_f2_get_busy_status():  FuncEntry
[2.518] flash_f2_get_busy_status():  FuncExit
[2.518] flash_f2_get_busy_status():  FuncEntry
[2.519] flash_f2_get_busy_status():  FuncExit
[2.519] flash_f2_get_busy_status():  FuncEntry
[2.519] flash_f2_get_busy_status():  FuncExit
[2.519] flash_f2_get_busy_status():  FuncEntry
[2.519] flash_f2_get_busy_status():  FuncExit
[2.519] flash_f2_get_busy_status():  FuncEntry
[2.520] flash_f2_get_busy_status():  FuncExit
[2.520] flash_f2_get_busy_status():  FuncEntry
[2.520] flash_f2_get_busy_status():  FuncExit
[2.520] flash_f2_get_busy_status():  FuncEntry
[2.520] flash_f2_get_busy_status():  FuncExit
[2.520] flash_f2_get_busy_status():  FuncEntry
[2.521] flash_f2_get_busy_status():  FuncExit
[2.521] flash_f2_get_busy_status():  FuncEntry
[2.521] flash_f2_get_busy_status():  FuncExit
[2.521] flash_f2_get_busy_status():  FuncEntry
[2.521] flash_f2_get_busy_status():  FuncExit
[2.521] flash_f2_get_busy_status():  FuncEntry
[2.522] flash_f2_get_busy_status():  FuncExit
[2.522] flash_f2_get_busy_status():  FuncEntry
[2.522] flash_f2_get_busy_status():  FuncExit
[2.522] flash_f2_get_busy_status():  FuncEntry
[2.522] flash_f2_get_busy_status():  FuncExit
[2.522] flash_f2_get_busy_status():  FuncEntry
[2.522] flash_f2_get_busy_status():  FuncExit
[2.522] flash_f2_get_busy_status():  FuncEntry
[2.523] flash_f2_get_busy_status():  FuncExit
[2.523] flash_f2_get_busy_status():  FuncEntry
[2.524] flash_f2_get_busy_status():  FuncExit
[2.524] flash_f2_get_busy_status():  FuncEntry
[2.524] flash_f2_get_busy_status():  FuncExit
[2.524] flash_f2_get_busy_status():  FuncEntry
[2.524] flash_f2_get_busy_status():  FuncExit
[2.524] flash_f2_get_busy_status():  FuncEntry
[2.525] flash_f2_get_busy_status():  FuncExit
[2.525] flash_f2_get_busy_status():  FuncEntry
[2.525] flash_f2_get_busy_status():  FuncExit
[2.525] flash_f2_get_busy_status():  FuncEntry
[2.525] flash_f2_get_busy_status():  FuncExit
[2.525] flash_f2_get_busy_status():  FuncEntry
[2.525] flash_f2_get_busy_status():  FuncExit
[2.525] flash_f2_get_busy_status():  FuncEntry
[2.526] flash_f2_get_busy_status():  FuncExit
[2.526] flash_f2_get_busy_status():  FuncEntry
[2.526] flash_f2_get_busy_status():  FuncExit
[2.526] flash_f2_get_busy_status():  FuncEntry
[2.526] flash_f2_get_busy_status():  FuncExit
[2.526] flash_f2_get_busy_status():  FuncEntry
[2.527] flash_f2_get_busy_status():  FuncExit
[2.527] flash_f2_get_busy_status():  FuncEntry
[2.527] flash_f2_get_busy_status():  FuncExit
[2.527] flash_f2_get_busy_status():  FuncEntry
[2.527] flash_f2_get_busy_status():  FuncExit
[2.527] flash_f2_get_busy_status():  FuncEntry
[2.528] flash_f2_get_busy_status():  FuncExit
[2.528] flash_f2_get_busy_status():  FuncEntry
[2.528] flash_f2_get_busy_status():  FuncExit
[2.528] flash_f2_get_busy_status():  FuncEntry
[2.528] flash_f2_get_busy_status():  FuncExit
[2.528] flash_f2_get_busy_status():  FuncEntry
[2.528] flash_f2_get_busy_status():  FuncExit
[2.528] flash_f2_get_busy_status():  FuncEntry
[2.529] flash_f2_get_busy_status():  FuncExit
[2.529] flash_f2_get_busy_status():  FuncEntry
